ItemID,Sentiment,SentimentText
149,0,Fatal consequences arise when public officials take the easy route &amp; choose to kick the can down the road 
150,0,Elevating characterological criticism  above all else was the fatal flaw of the Hillary Clinton
151,1,"Stolen laptops, wallets and more found in vehicle involved in fatal police "
152,1,"Stolen laptops, wallets and more found in vehicle involved in fatal police "
153,0,Louisiana prosecutor's report details fatal ambush of police in 2016 
154,0,Do you recognize this guy? Police released this sketch of suspect in fatal Chester Co. road rage case.
155,0,BREAKING: Arson charges dropped for two teenagers responsible for fatal Gatlinburg wildfires.
156,1,WATCH LIVE: NOPD provides update on state police chase that ended in fatal crash #NewOrleans
157,0,"#BREAKING Shooter is identified as Dr. Henry Bello. Six total people shot - five non fatal, one dead. Shooter is also dead."
158,0,Took him long enough! Kensington Council leader Nicholas Paget-Brown resigns after fatal Grenfell tower fire
159,0,"It has happened with me and Merp, Golden, Fatal, and heck I could kinda see myself being replaced"
160,0,Faded red pickup truck generating tips from across the country; as far as California in #WestGoshen fatal road rage
161,0,you get in the car crash with your wife
162,0,Car crash appointment right from the start.The best bit is they've backed him.
163,1,"Joe Jackson, 88, is OK after Las Vegas car crash"
164,0,Oh I am..but this is just like watching a car crash u don't wanna look but u do anyway
165,1,#Sonoma man dies in multi-car crash on Hwy 37 in #Novato
166,0,"Once more unto the breach, dear friends, once more. On the Red Line and a collision course with Dead &amp; Co. at Wrigley Field."
167,1,"RIVCO: EB I-10 just west of Cook Street (Indio), MM 45--2 vehicle collision blocking #1 lane"
168,1,EB 401 at the 427 #COLLISION right lane left lane blocked
169,0,A newly discovered meteoroid stream could increase the risk of a large asteroid collision with Earth.
170,1,"Collision - NB Hwy 11 at Luigi Road, Gravenhurst. OPP on the way \n#CottageTraffic"
171,0," Vehicle Fire, I-85 South before SR 54 (Mile Post 28), 2 of 2 lanes blocked. "
172,0,We're glad to welcome Jayana Paul of #Eskasoni to the #WatchforWildlife  team this summer. She'll be sharing info on collision prevention
173,0,#IAmSoSickOfLies Pepe Escobar - Washington and Berlin on a collision course
174,0,FIA to examine Vettel collision with Hamilton 
175,0,Not necessary. My fiery collision with Earth will destroy your solar system
176,0, I'm going OTT but it seems that every collision between Belleville and Brockville has an inordinate effect on Kingston
177,1,An 18-year-old motorcyclist is dead due to a collision with a car this afternoon
178,1,bus and car collision. Route 4 on 10 St just north of 16 Ave. Everyone appears fine but slow traffic.
179,1,Currently at scene of head on collision on Beccles Road in Lowestoft with @EastEnglandAmb
180,0,the states know how flipping shady that is! Going through a federal investigation on collision and then wanting ALL voting records?
181,1,Collision - Hwy 118W near Hwy169 Motorcycle vs Deer. OPP and Ambulance to attend
182,1,Bus-truck collision kills eight in Bali
183,0,"This ties the Russian hacking directly to the Trump regime, and makes them complicit in collision!"
184,0, Make a seperate collision sphere (1.5x size) around the interactive object and let it block visible
185,1,"Innisfil Beach rd #Innisfil Report 1 Injured , Emergency Services are en-route #Traffic"
186,1,"In Hayes, the earlier collision on the northbound A312 The Parkway approaching the Ossie Garvin Roundabout has cleared"
187,0, I am very happy to announce that we found the first SHA1 collision
188,1,No visual but report of a collision at NE 45th St &amp; Latona Ave NE
189,0,I adjusted the collision on the Dye Mixer so that you can now place the Cooker directly against the wall
190,0,Currently holding an ice pack to my forehead due to an unlucky collision with my dog's skull. Ouch
191,0,Sending our thoughts to Dustin Fowler of the @Yankees who left tonight's game following a collision with the right field foul wall.
192,1,Personal Injury Collision | Mcnicoll Ave &amp; Markham Rd [HP] 06\/30 18:45 #Scarborough
193,0,okay collision isn't ready but I already completed the geo-logic in my head
194,1,"Traffic Collision - Ambulance Enroute: I5 N Us50 connector at I5 N Us50 E connector, Sacramento"
195,1,Rowville - collision  Bark Ave at Napoleon Rd - CLEAR
196,1,Baliang - collision  Bacchus Marsh Rd at Little River Ripley Rd - CLEAR
197,1,Caulfield North - collision  Dandenong Rd at Carnarvon St - CLEAR
198,1,Kew - collision  Denmark St at High St - CLEAR
199,1,Carnegie - collision  Grange Rd at Neerim Rd - CLEAR
200,0,It's finally here. The guys from Clash have written up my brand new track 'Collision'!
201,1,Hate it when you're waiting for the cops so you can make a statement as a witness to a (minor) driver-cyclist collision but you gotta pee
202,1,Collision: #Hwy401 WB at Carlingview - Vehicles removed
203,0,"This new research suggests that pallasites are actually sourced closer to the surface of the parent body, formed in collision"
204,0,Car Accessories Door Edge Guard Strip Scratch Protector Anti-collision Trim
205,0,4X Car Accessories Door Edge Guard Strip Scratch Protector Anti-collision Trim
206,0,Police Release Suspect Sketch in Road Rage Shooting of #BiancaRoberson. Manhunt underway.
207,0,Kay so can you pls line up all your lipsticks and make a lil red brick road
208,0,Chuck Jones' rules for writing the Road Runner &amp; Wile E. Coyote cartoons. Brilliant.
209,0,Y'all gonna report that she had the green light &amp; the other car ran a red? Or y'all projecting this false narrative
210,0,Crash Bandicoot N. SANE Trilogy HIGH ROAD + BEATING CRASH 1 FIRST TIME EVER!!!
211,1,Rescue chopper flies one of four people injured in a two car crash north of Gympie to Sunshine Coast University Hospital.
212,0,Idiot Driver + High Powered Sports Car = Crash
213,1,A 14-year-old boy deliberately crashed an SUV
214,0,"i've been trying to convince my uber driver to crash his car and he won't... uhh... look, u work for me, buddy"
215,0,Here's another look at that crash through @KevinHarvick's in-car camera.
216,0,a crowbar's fine but a car crash is a no-no
217,1, A police officer witnessed a fatal fiery crash and pulled a woman from a burning car.
218,1,"The road to success is never a straight line.Golden Rd, In Wilmington New Hanover, Vehicle Crash, Road Closed"
219,1,Road Traffic Crash Manar Road
220,1,2 young boys dead following violent car crash in Concord. TONIGHT AT 8-person of interest in custody.
221,0,Venus Williams Sued for Wrongful Death In Fatal Car Crash
222,0,"was trying go. Caution flag with 7 to go after a multi-car crash just behind Ty, who remains the leader."
223,0,Car crash at 120mph
224,0,when i say you're good for me i mean there's a car crash inside of my chest but the radio is still on
225,1,Teen killed in possible road rage crash in Chester County ID'd as recent high school grad
226,1,Police have released CCTV of a man after a fatal crash at Chester Hill
227,0,It's like watching a car crash in slow motion but then the same asshole keeps backing up and smashing
228,0,Ask that dumbass who's driving the car we gonna crash
229,0, i'd probably make a car crash immediately
230,0,"so how niggas crash my brothers car, have someone pick up all my shit, put me in a coma then blame the weed in the car"
231,1,"Joe Jackson, 88, is OK after Las Vegas car crash."
232,0,Vehicle Crash Forensics - Car Accident Information for Writers
233,0,when i say you're good for me i mean there's a car crash inside of my chest but the radio is still on and it's playing
234,0,Big crash with less than ten laps to go. Always scary when the car goes airborne.
235,1,Road Traffic Crash Brisbane Valley Highway with Turtle Creek Road #Harlin
236,1,Fatal motorcycle crash in NE Harris Co.
237,1,One person has been cut from their vehicle following a two-car crash north of Christchurch
238,0,So is there any car that hasn't been involved in some sort of crash tonight
239,0,"Alcohol is a major contributing factor in crashes - each year, approximately 50% of all FATAL crashes involve"
240,1,Half-n*ked teacher killed in horror car crash 'while having S*x'
241,0,Don't really watch NASCAR. But this car science at Daytona is life #Daytona #Crash #17
242,1,"Road Traffic Crash Percy Ford Street, Cooee Bay #Yeppoon"
243,0,spent the day on the road and finishing it with a relaxing dip at #HarrisonHotSprings #HappyCanada150. Idiot Driver + High Powered Sports Car Crash
244,1,Great crash! I bet that car's driver in the rear shit his pants!
245,1,You are in one piece! The car can be replaced. This has all just been a crash 
246,0,Lawyer Alleges Cover-Up in Investigation of Venus Williams After Fatal Crash
247,1,Man arrested on suspicion of impairment following fatal crash - Las Vegas\
248,0,Paramedic Bride Rescues Guests in Car Crash While Still Wearing Wedding Dress
249,0,Just unlocked a new car in Crash of Cars.
250,0,I wonder if it still holds the record for biggest on-screen car crash count at 101
251,1,woman dies in two-car crash on Hwy 17 south of Coulee City
252,0,Just seeh a Camaro almost crash ... stop tryna he cool if you can't control yo car and slow down y'all.
253,1,Man detained in hit-and-run crash that killed 2 children
254,0,managed to crash another car on a plate track? Isn't that a requirement each race now?
255,1,"Road blocked from Exit 74 - Simco Road to Exit 90 - I-84B (13m W of Mountain Home). Crash, Delays."
256,0,"This guy thought it would be funny to pretend to crash his car into my car while driving, jokes on you buddy"
257,0," NASCAR racing sucks.Can't go 1 lap without a crash.pussy girl drivers..no excitement...Grand Prix, Formula 1 and Indy car R better."
258,1, Tragic crash today near Lake McConaughy claimed four lives. Drive safely this weekend as there are many on the road.
259,1,Police hunt men who left woman to die after Sydney car crash
260,0,What's really happening during an LHC collision?
261,0,The Collision is next weeekkkk!!!! Who do you have winning the triple threat championship match?
262,1,At least one fatality reported after collision between a motorcycle and car on Seminole Blvd.
263,0,3 of the 7 US sailors killed in ship collision two weeks were immigrants--did I mention Tucker's a jackass?
264,1,Pedestrian seriously injured in a collision in Northampton has died
265,1,Person of interest detained following hit-and-run collision that left 2 boys dead and 2 others injured in Concord.
266,1,police say The West Mall is closed between Rathburn Rd. and Holiday Dr. due to collision possibly involving 2 pedestrians.
267,1,In the collision of bus and truck perished in Tatarstan children
268,0,"Lors de la collision d'un bus et un camion-citerne au Tatarstan, tuant les enfants"
269,1, A40 westbound approaching the Target Roundabout is reduced to one lane due to a collision. Minor delays.
270,0,Just Cause 3.Personal Injury Collision
271,0,The force of the collision lifted the car.  The hood flaps sucked it back down.
272,1,Bus-truck collision kills eight in Bali - Jakarta
273,0,Now we have a roadmap to the Trump campaign's collision with Russia
274,1,Routes 44 77  270 G1 have returned to line of route following earlier diversion due to road traffic collision on Garratt Lane SW18.
275,0,"In Palmers Green, the earlier collision on the A406 North Circular Road at the Clockhouse Interchange has been repositioned."
276,0,Could cold spot in the sky be a bruise from a collision with a paralle.
277,0,very unsportsmanlike while in a collision.
278,0,between J3 and J4 due to a collision.
279,1,The earlier collision on the Londonbound A12 near Leyton has cleared.
280,1,Saddened to hear about d news of bus &amp; truck collision in UP's Bareilly. I appeal to everyone to drive safely.
281,1,Cape May man dies of single-vehicle crash injuries: The man was the only occupant of the car; the crash is under
282,1,"akeside road-rage incident ends in fiery crash, business destroyed"
283,1,"Man tries to crash car into a crowd in front of a mosque in Cr\u00e9teil, France. Police detain individual after he hit"
284,0,Please keep your eyes on the road you're gonna crash the car
285,1,Saugus Police Identify Victim In Fatal Crash Involving Dirt Bike
286,1,Los Angeles News Search LA (DUI suspect arrested after fatal crash on 110 Freeway; all lanes reopened)
287,0,This is critical. We all pay for the cost of car crashes. More than the cost of the roads... 
288,0,"Visit from a 20,000 year old iceberg, car crash into restaurant most-read stories last wk"
289,1,my friends got in a car crash and both died
290,0,I play some Just Cause 3 and after a few minutes the graphics car crash and wont start
291,1,A 1955 car crash
292,1,Case of road rage causes fiery crash into salon
293,0,Car Crash very Shock dash camera 2017 
294,0,i'd crash the car if i was his mother
295,0,Car Crash) very Shock dash camera 2017 NEW By Top Speed Motor HD (4) 
296,1, This is the result of my sisters car crash. BE SAFE ON THE ROAD. Don't text and drive. We are lucky she is alive.
297,1,"Star Trek' actor Anton Yelchin dies in car crash at age 27, his publicist says - AP "
298,1, A2 Jubilee Way #Dover CLOSED due to Road Traffic Crash.
299,1,Road-rage ends in fiery crash that destroys Lakeside business. Why did the boob cross the road? To get to the other side.
300,1,State troopers are investigating a fatal crash in Floyd County
301,1,Horrifying moment car crash victim is thrown through rear windscreen
302,1,A 22 year-old woman's been left in a critical condition after a single-car crash at Chapel Hill. 
303,0,oved Transformers in 4DX but I now feel like I've been in a car crash
304,1,"Brent Cross car crash: Tot, 5, crushed by Mercedes in front of horrified mum and sister | Daily Star: "
305,0,practice goes according to plan and i'm surprised. A great song about dying in a car crash with your significant 
306,1,Derek Fisher formally charged with DUI for car crash
307,0,A hectic crash-marred first road stage on #TDF2017 stage 2.
308,0,Car Crash - The SNP's Jamie Hepburn MSP struggles to answer basic questions. 
309,0,tmw your dealer gets in a car crash :(
310,1,1 dead after motorcycle crash on Sauer Farm Road in Anderson Co. 
311,1,Everyone stops to look at a car crash.
312,1,"Venus Williams at fault in deadly Florida car crash, police say"
313,0,Crash Bandicoot 3 Warped - Road to 105%:
314,1,Fatal Crash Looks at Both Drivers for Answers
315,0,"Travis Scott, threw up, woman asked me if I \""wanted business\"" and had a small car crash all in one night"
316,0,Fuck the high road on crash bandicoot #CrashNSaneTrilogy
317,0,hopefully u don't crash ur car on the way \nwow thanks mom way to calm my nerves
318,1, New Jersey cop gets prison for fatal alcohol-related crash
319,0,i put spongebob music over an epic car crash
320,1,"Croydon Car Crash Leaves Girl, 16, Dead And Six Others Injured After Audi Hits"
321,1,Fast and Furious star Paul Walker dies in car crash
322,0,In the car with Nita and we almost had a three way crash right now 
323,1,Suspect charged in deadly Concord hit-and-run crash that killed 2 kids
324,1, SHE DIED Teenager live streamed her own death in fatal car crash with lamp post 
325,1,"Nasty crash, could have been a lot worse.  But how British is the drivers reaction when he gets out of his car?"
326,0,"If you want a picture of the future, imagine a car crash dripping on a man's chest"
327,0,So I finished Crash Bandicoot's Road to nowhere. It is a demon spawn.
328,0,"Ninja Gaiden is harder than Crash Bandicoot, though the first game is no joke, especially with The Road"
329,0,Picture mannys car vs an 18 wheeler in a head on collision
330,1,Castro Valley I580 E \/ Eden Canyon Rd Ofr **Trfc Collision-No Inj**
331,0,Texas sailor killed in ship collision back home for burial
332,1,"Woman dead, 4 sent to hospital after vehicle collision with cows"
333,0,Collision. Rudy gay. I don't have anything to talk with the knicks man
334,1,Motorbike rider involved in fatal collision on #N12 #Benoni
335,1,#A2 #Dover is closed in both directions btwn #A258 and #A20 due to a serious collision. #Traffic Officers are en route.
336,1,COLLISION: #Hwy401 EB Collectors at Weston - Vehicle blocking left lane
337,1,Serious collision in Luton as car 'fails to stop' for police 
338,1,Collision on SR 3 northbound at milepost 20.9 near Lakeland Dr.
339,1,"Traffic Collision, Unknown Injuries at 4365 Dows Prairie Rd"
340,1,Collision: #Hwy417 EB on ramp from County Rd 34 #Alexandria #Hawkesbury - OPP clear from scene
341,1,Woman dead after Highway 20 collision near Quebec City #Montreal
342,1,"Division and Sprague, Vehicle Collision Reported. In Phx: 1 fatal road collision every 2 days"
343,0,Trump's leading us on a collision course to WWIII. This song Rise Up by Muse is the theme song of The Resistance!
344,0,Einstein's Gravitational Waves Discovered Thanks To Black Hole Collision
345,1,We had a serious injury Hit &amp; Run collision at 5905 W. Charleston Blvd. where a vehicle struck
346,0,LIVE Stadium Auto Body Collision Center Studios!
347,0,"I'd go with the kinetic energy released by the collision of two unstoppable forces, but that wouldn't fit in the poll"
348,1,Braintree man injured during fatal crash in Saffron Walden
349,1,Drive Social.. DUI suspect arrested after fatal crash on 110 Freeway
350,0,"I just had one of regulars come in, and start freaking out about all the bruises on scratches on me from the car crash yesterday"
351,1,3 yo in serious condition after being hit by a car. Crash Analysis Reconstruction (CAR) Team investigating. 
352,0,Engineer in Fatal NJ Train Crash Had Undiagnosed Sleep
353,0,What's the furest you guy have got on the new #CrashBandicootNSaneTrilogy on game 1? #CrashBandicoot im on the road leads to nowhere level
354,0,"Fatal crash in Towai - Far North District. - Please attribute to Inspector Wayne Ewers, Northland Police At app—"
355,0,"LA is proposing to name a road after President Obama. How about a urinal urinal after Trump...getting hella rekt on the high road in crash 1. but if i drink a beer, I get less mad"
356,1,DOVER: Serious head-on crash between a lorry and car on Jubilee Way.
357,0,"Another chaotic race, another crash, but this time I made It. With the 8th place I scored my first points"
358,1,Van Wyck crash. Car on fire! Just after Atlantic Ave exit. No idea how but totaled Mustang was seen on tow truch me
359,1,A Bradford County man died from injuries sustained in a Friday car crash on Pennsylvania State Road 220 in Towanda.
360,1,Car crash causes Lake Worth Casino power outage
361,0,Fredo i lost my cousin and my uncle to a car crash and i made a yt channel to give back to them for
362,0,If yall dont hear from me its because i died ina car crash lol this nigga kp wildinn speed racin
363,0,Fredo i lost my cousin and my uncle to a car crash and i made a yt channel to give back to them for everything 
364,0,Study Links Recreational Marijuana Use To Alarming Increase In Fatal Crashes
365,0,The Road to Nowhere in Crash 1 is fucking bullshit! I've died a shot tone of times already and that jump at the end is fucking impossible!!!
366,1,About 2 minutes from my house and he must have been traveling at ridiculous speeds to crash like he has.
367,1,Well-known Cape Breton cruise marketing manager injured in fatal crash
368,0,"Representatives of IMPACT Wrestling, AAA, NOAH and CRASH on stage, as the Fatal Four Way Match for the Tag Titles opens the show."
369,1,State Police Investigating Fatal Crash in Bolton: Massachusetts State Police Media Release
370,0,Trump is like watching a slow moving and totally avoidable car crash
371,1,hides in van so fans don't see him and creates car crash*\nalso niall: wow such chills out people
372,0,Terrible Road Accidents Brutal Car Crash Compilation March 2017 Part 2
373,1,Man standing by his stalled car in the roadway killed in hit-and-run
374,0,I hate driving home from work at this time cos country roads n I'm the only car on the road. I worry that if I crash no one will find me
375,0,My mom told me to crash her car so she can get a new one
376,0,Bangkok food truck reopens days after fatal crash
